trade_date,trade_symbol,open,high,low,close,vwap,volume,amount
2023-04-18,601668.SH,5.25,5.37,5.19,5.33,5.284962615019337,460423670.0,2967465711.0
2023-04-19,601668.SH,5.3,5.38,5.18,5.2,5.272468989826746,350268709.0,2251652105.0
2023-04-20,601668.SH,5.18,5.33,5.15,5.3,5.250150426750314,374748623.0,2401818600.0
2023-04-21,601668.SH,5.33,5.39,5.22,5.22,5.298615166002102,311473173.0,2013965166.0
2023-04-24,601668.SH,5.24,5.29,5.09,5.11,5.182782183229868,408024841.0,2582338980.0
2023-04-25,601668.SH,5.16,5.23,5.1,5.16,5.156133686096655,313484217.0,1973470765.0
2023-04-26,601668.SH,5.13,5.16,4.97,5.02,5.057164405524081,351513641.0,2170731023.0
2023-04-27,601668.SH,5.06,5.24,5.03,5.16,5.152290513809556,313611765.0,1972802172.0
2023-04-28,601668.SH,5.28,5.39,5.21,5.38,5.313524804624474,535634109.0,3475633953.0
2023-05-04,601668.SH,5.33,5.77,5.29,5.74,5.597029045713049,813542844.0,5552954790.0
2023-05-05,601668.SH,5.74,5.78,5.65,5.67,5.702486999625298,480940264.0,3347175445.0
2023-05-08,601668.SH,5.67,5.92,5.62,5.8,5.777143071573627,626271355.0,4416527461.0
2023-05-09,601668.SH,5.83,6.02,5.7,5.71,5.840162630290436,664018875.0,4733714219.0
2023-05-10,601668.SH,5.72,5.74,5.52,5.55,5.606788313291062,455590879.0,3115909719.0
2023-05-11,601668.SH,5.56,5.61,5.49,5.52,5.541615989779097,280721259.0,1896652279.0
2023-05-12,601668.SH,5.5,5.56,5.35,5.35,5.419227631065646,312188232.0,2064967977.0
2023-05-15,601668.SH,5.34,5.36,5.2,5.32,5.267050501450462,392927086.0,2524715896.0
2023-05-16,601668.SH,5.32,5.36,5.16,5.19,5.243180347917854,291045325.0,1861194567.0
2023-05-17,601668.SH,5.18,5.23,5.11,5.19,5.171539218987555,268271419.0,1692117750.0
2023-05-18,601668.SH,5.19,5.24,5.14,5.15,5.192077521966043,324846285.0,2056702554.0
2023-05-19,601668.SH,5.12,5.12,5.01,5.06,5.057876386746062,301739806.0,1863969390.0
2023-05-22,601668.SH,5.07,5.11,5.04,5.05,5.066219049455126,206417279.0,1275614204.0
2023-05-23,601668.SH,5.06,5.1,4.96,4.96,5.015839750591085,244552399.0,1496198719.0
2023-05-24,601668.SH,4.93,4.94,4.79,4.79,4.840142358380029,367050920.0,2169725559.0
2023-05-25,601668.SH,4.77,4.79,4.7,4.75,4.736583370754695,286358202.0,1656186334.0
2023-05-26,601668.SH,4.75,4.77,4.66,4.71,4.707297646057757,244972567.0,1407784083.0
2023-05-29,601668.SH,4.74,4.79,4.71,4.75,4.747484292611135,243209940.0,1409870557.0
2023-05-30,601668.SH,4.75,4.93,4.74,4.88,4.842217642245345,435231069.0,2573893857.0
2023-05-31,601668.SH,4.83,4.9,4.81,4.83,4.844736316765005,267066281.0,1580498487.0
2023-06-01,601668.SH,4.83,4.97,4.81,4.93,4.913871060933948,298138126.0,1785948069.0
2023-06-02,601668.SH,4.93,5.01,4.88,4.98,4.941633741432378,257188981.0,1551662084.0
2023-06-05,601668.SH,4.97,5.0,4.9,4.92,4.946026060035731,239228068.0,1442961291.0
2023-06-06,601668.SH,4.92,5.09,4.89,4.93,4.999908705695964,330486535.0,2017740988.0
2023-06-07,601668.SH,4.96,5.01,4.91,4.93,4.948754558327674,153356684.0,926719275.0
