trade_date,trade_symbol,open,high,low,close,volume,amount
2024-07-23,000333.SZ,57.46,57.6,56.33,56.33,18537845.0,1165932040.0
2024-07-24,000333.SZ,56.0,56.64,53.86,54.25,45547336.0,2757887294.0
2024-07-25,000333.SZ,53.75,54.26,53.19,53.64,30109151.0,1787253322.0
2024-07-26,000333.SZ,56.74,56.88,55.45,56.75,57740171.0,3598947643.0
2024-07-29,000333.SZ,56.26,57.08,56.13,56.78,20712828.0,1297587355.0
2024-07-30,000333.SZ,56.45,56.68,54.72,55.14,22575846.0,1381015834.0
2024-07-31,000333.SZ,54.84,57.67,54.84,57.58,40174739.0,2530147580.0
2024-08-01,000333.SZ,57.61,58.4,57.26,57.41,24406833.0,1561027259.0
2024-08-02,000333.SZ,57.16,58.05,56.5,56.88,20261524.0,1280021474.0
2024-08-05,000333.SZ,56.48,58.07,55.59,55.67,35476754.0,2214817315.0
2024-08-06,000333.SZ,55.64,56.22,53.75,54.11,38493182.0,2316733895.0
2024-08-07,000333.SZ,54.11,55.43,53.5,54.81,25298592.0,1535238304.0
2024-08-08,000333.SZ,54.56,55.52,54.37,55.05,14231910.0,867672450.0
2024-08-09,000333.SZ,54.95,55.72,54.48,54.63,13802375.0,839905714.0
2024-08-12,000333.SZ,54.63,56.11,54.46,55.43,16949235.0,1042597208.0
2024-08-13,000333.SZ,55.43,56.09,55.01,55.41,9835074.0,602892300.0
2024-08-14,000333.SZ,55.41,55.53,54.72,54.99,11227780.0,685993302.0
2024-08-15,000333.SZ,54.81,55.4,54.44,55.09,19163262.0,1166672167.0
2024-08-16,000333.SZ,54.91,55.9,54.79,55.75,18066988.0,1112521867.0
2024-08-19,000333.SZ,55.71,57.03,55.69,56.31,17275349.0,1075574308.0
2024-08-20,000333.SZ,57.32,57.33,55.77,56.91,25780974.0,1623775567.0
2024-08-21,000333.SZ,56.63,57.52,56.29,57.04,21187130.0,1337959065.0
2024-08-22,000333.SZ,57.01,58.24,56.64,57.88,24978743.0,1597113183.0
2024-08-23,000333.SZ,57.79,59.56,57.69,59.11,29047135.0,1895805009.0
2024-08-26,000333.SZ,59.55,60.19,58.61,59.89,33958151.0,2241141518.0
2024-08-27,000333.SZ,59.6,60.03,59.14,59.59,24113793.0,1590912374.0
2024-08-28,000333.SZ,59.58,59.74,58.31,58.63,26542959.0,1726057217.0
2024-08-29,000333.SZ,58.17,58.98,57.75,57.75,23285563.0,1500197088.0
2024-08-30,000333.SZ,57.32,59.43,57.23,58.47,33386334.0,2160911498.0
2024-09-02,000333.SZ,58.25,60.07,58.19,58.9,26075882.0,1706301995.0
2024-09-03,000333.SZ,58.71,60.03,58.7,59.57,24237888.0,1599193264.0
2024-09-04,000333.SZ,59.47,60.23,59.02,59.13,27499633.0,1814975104.0
2024-09-05,000333.SZ,58.65,59.06,57.32,57.42,43212322.0,2763225151.0
2024-09-06,000333.SZ,57.43,58.29,56.8,56.91,23320164.0,1480652837.0
2024-09-09,000333.SZ,55.4,56.17,54.8,55.17,54840638.0,3359451100.0
2024-09-10,000333.SZ,54.62,55.66,54.62,54.86,40111034.0,2451075854.0
2024-09-11,000333.SZ,54.65,56.06,53.91,55.68,41921762.0,2572399328.0
2024-09-12,000333.SZ,55.81,56.76,55.68,56.32,27616861.0,1719561913.0
2024-09-13,000333.SZ,56.03,57.6,55.62,57.35,32148994.0,2037679478.0
2024-09-18,000333.SZ,57.45,59.34,57.25,58.92,29502596.0,1915513518.0
2024-09-19,000333.SZ,56.26,59.36,56.26,58.95,47611503.0,3085181571.0
2024-09-20,000333.SZ,58.62,59.87,58.48,59.65,39801250.0,2608979309.0
2024-09-23,000333.SZ,60.02,61.31,59.78,61.05,39162141.0,2643088028.0
2024-09-24,000333.SZ,61.05,61.63,59.78,61.44,50090152.0,3378454557.0
2024-09-25,000333.SZ,61.6,64.57,61.6,63.31,62766129.0,4428074584.0
2024-09-26,000333.SZ,63.21,66.54,63.02,66.43,50134212.0,3592524658.0
2024-09-27,000333.SZ,67.5,68.99,64.25,65.92,85744787.0,6253333702.0
2024-09-30,000333.SZ,66.07,69.44,65.05,68.68,125166492.0,9344041944.0
2024-10-08,000333.SZ,75.56,75.56,71.1,72.41,135239267.0,11050056032.0
2024-10-09,000333.SZ,70.8,71.63,66.84,67.74,89550113.0,6896386875.0
2024-10-10,000333.SZ,68.59,71.68,68.51,70.71,67303399.0,5259062088.0
2024-10-11,000333.SZ,70.44,70.64,68.54,69.33,38060178.0,2930030642.0
2024-10-14,000333.SZ,69.56,71.6,69.17,71.34,46282832.0,3620244782.0
2024-10-15,000333.SZ,71.34,71.34,68.63,68.63,37583316.0,2905639306.0
2024-10-16,000333.SZ,67.46,68.18,66.58,67.94,34282949.0,2559503194.0
2024-10-17,000333.SZ,67.94,68.21,65.83,65.99,39437630.0,2920853670.0
2024-10-18,000333.SZ,65.99,68.81,65.61,67.74,42785106.0,3180240270.0
2024-10-21,000333.SZ,68.04,68.61,66.17,66.9,34322896.0,2547898013.0
2024-10-22,000333.SZ,67.14,69.5,66.95,69.08,40405973.0,3073890031.0
2024-10-23,000333.SZ,69.17,70.24,68.63,68.97,26831280.0,2053544728.0
2024-10-24,000333.SZ,68.73,69.05,68.0,68.31,17108673.0,1296926992.0
2024-10-25,000333.SZ,68.11,68.5,67.52,67.97,21057289.0,1583775153.0
2024-10-28,000333.SZ,68.17,68.25,66.83,67.61,28059096.0,2091524794.0
2024-10-29,000333.SZ,67.38,68.18,66.64,66.89,29727177.0,2214621306.0
2024-10-30,000333.SZ,66.55,67.14,65.13,65.7,40413734.0,2939634796.0
2024-10-31,000333.SZ,65.89,66.54,64.21,64.49,50046867.0,3595551677.0
2024-11-01,000333.SZ,64.51,65.92,63.56,65.24,41651482.0,3009423819.0
2024-11-04,000333.SZ,65.14,66.26,64.75,65.78,23231578.0,1680407656.0
2024-11-05,000333.SZ,65.47,66.35,64.31,66.04,41696728.0,3027068197.0
2024-11-06,000333.SZ,66.05,66.05,64.09,64.27,52593143.0,3768679119.0
2024-11-07,000333.SZ,63.53,65.11,63.11,65.11,54774602.0,3895318881.0
2024-11-08,000333.SZ,65.61,66.61,64.21,65.54,59337382.0,4283549293.0
2024-11-11,000333.SZ,64.32,64.87,63.95,64.66,44207913.0,3153791634.0
2024-11-12,000333.SZ,64.94,67.63,64.83,65.37,57547722.0,4231304809.0
2024-11-13,000333.SZ,65.45,67.1,65.43,66.28,45841657.0,3373337471.0
2024-11-14,000333.SZ,66.35,67.63,65.32,66.5,40843466.0,3020822981.0
2024-11-15,000333.SZ,66.06,66.92,64.88,65.24,34282515.0,2496870647.0
2024-11-18,000333.SZ,65.17,65.9,63.96,64.16,31938599.0,2292938837.0
2024-11-19,000333.SZ,64.16,64.79,63.84,64.4,22665163.0,1614053712.0
2024-11-20,000333.SZ,64.46,64.7,63.88,64.5,22637119.0,1610809493.0
2024-11-21,000333.SZ,64.45,64.47,63.71,63.97,21652845.0,1534662636.0
2024-11-22,000333.SZ,63.96,65.76,63.41,63.56,38845820.0,2781161792.0
2024-11-25,000333.SZ,63.31,65.36,63.31,63.56,38586774.0,2737579009.0
2024-11-26,000333.SZ,63.31,64.3,62.63,63.75,27418796.0,1932586725.0
2024-11-27,000333.SZ,63.5,64.57,62.98,64.4,26482499.0,1875798199.0
2024-11-28,000333.SZ,65.02,65.02,63.0,63.38,32328951.0,2275593420.0
2024-11-29,000333.SZ,62.92,63.91,62.81,63.33,27750141.0,1951115164.0
2024-12-02,000333.SZ,63.35,63.69,62.52,63.28,35790565.0,2500096040.0
2024-12-03,000333.SZ,63.21,63.21,62.67,63.08,31317422.0,2181594388.0
2024-12-04,000333.SZ,63.1,65.01,62.85,64.56,53195506.0,3779094534.0
2024-12-05,000333.SZ,64.66,65.81,64.49,64.77,36764463.0,2647263413.0
2024-12-06,000333.SZ,64.82,66.04,64.58,65.79,45677846.0,3318584662.0
2024-12-09,000333.SZ,65.03,66.72,64.4,66.04,41321923.0,3017126124.0
2024-12-10,000333.SZ,69.09,69.23,66.63,66.68,55513289.0,4164810151.0
2024-12-11,000333.SZ,66.55,68.03,66.46,67.82,33543390.0,2512587263.0
2024-12-12,000333.SZ,67.91,68.4,67.16,68.23,28639814.0,2153602254.0
2024-12-13,000333.SZ,67.91,67.94,66.22,66.82,37063334.0,2744782532.0
2024-12-16,000333.SZ,66.91,67.23,65.61,66.12,28047059.0,2054964896.0
2024-12-17,000333.SZ,66.1,67.44,65.75,66.53,27887305.0,2058385955.0
2024-12-18,000333.SZ,66.52,67.35,66.45,66.91,22578549.0,1675256403.0
2024-12-19,000333.SZ,66.7,67.94,66.14,67.22,25355278.0,1893593092.0
2024-12-20,000333.SZ,67.21,67.54,66.52,66.82,20939651.0,1552494957.0
2024-12-23,000333.SZ,66.82,67.95,66.78,67.38,22602881.0,1689849270.0
2024-12-24,000333.SZ,67.19,68.97,67.19,68.86,34414101.0,2606513926.0
2024-12-25,000333.SZ,68.9,69.17,67.76,68.22,22733866.0,1719267176.0
2024-12-26,000333.SZ,67.96,68.85,67.41,68.61,24214292.0,1829497500.0
2024-12-27,000333.SZ,68.61,68.68,67.55,68.11,19842117.0,1493951286.0
2024-12-30,000333.SZ,67.73,68.79,67.66,68.02,22182724.0,1676164969.0
2024-12-31,000333.SZ,67.82,68.68,67.45,67.93,30766003.0,2324365541.0
